# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Face","anchor_id":"FILE1_Z0_XY1","type":4,"desc":"","options":{"0":"Front","1":"Left","2":"Right","3":"Up","4":"Down","5":"UpLeft","6":"UpRight","7":"DownLeft","8":"DownRight","9":"Top","10":"Back"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_X7JBXX4R","[""img_000.jpg""]",0,"[]","[2,159.214,154.791,48.648,67.322]","{}"
"2_fsoHii0t","[""img_001.jpg""]",0,"[]","[2,29.975,46.192,63.882,153.808]","{}"
"2_ukxblUbK","[""img_001.jpg""]",0,"[]","[2,159.214,51.106,93.366,191.646]","{}"
"2_qNpARPGF","[""img_001.jpg""]",0,"[]","[2,292.383,26.536,65.357,164.619]","{}"
"3_tjgoI5xb","[""img_002.jpg""]",0,"[]","[2,190.172,49.631,117.445,239.312]","{}"
"4_kNAk0L92","[""img_003.jpg""]",0,"[]","[2,265.848,53.563,47.174,64.373]","{""1"":""8""}"
"5_0j43CfjR","[""img_004.jpg""]",0,"[]","[2,138.084,76.658,63.882,63.883]","{}"
"5_mRQYLsy9","[""img_004.jpg""]",0,"[]","[2,195.086,71.253,83.538,56.511]","{}"
"6_bhkh0c8e","[""img_005.jpg""]",0,"[]","[2,128.747,52.58,112.039,85.504]","{}"
"7_agyaLJp5","[""img_006.jpg""]",0,"[]","[2,141.523,55.528,110.074,247.175]","{""1"":""2""}"
"8_FINd18D0","[""img_007.jpg""]",0,"[]","[2,105.651,85.504,146.437,264.373]","{""1"":""1""}"
"9_lZXdikwf","[""img_008.jpg""]",0,"[]","[2,145.946,104.668,95.823,159.214]","{}"
"10_9XHsPAEM","[""img_009.jpg""]",0,"[]","[2,169.533,51.106,94.349,138.575]","{""1"":""1""}"
"11_Azq9p6lX","[""img_010.jpg""]",0,"[]","[2,154.791,96.806,39.312,65.848]","{""1"":""1""}"
"12_xUMmukdZ","[""img_011.jpg""]",0,"[]","[2,64.865,52.58,230.958,156.265]","{""1"":""5""}"
"13_vX1WroHl","[""img_012.jpg""]",0,"[]","[2,110.074,57.494,209.336,174.447]","{}"
"14_Ud00o4Ym","[""img_013.jpg""]",0,"[]","[2,150.369,100.246,109.09,211.793]","{""1"":""4""}"
"15_xYb3Xlbv","[""img_014.jpg""]",0,"[]","[2,127.764,57.002,186.732,263.391]","{""1"":""1""}"
"16_NOCvuHgG","[""img_015.jpg""]",0,"[]","[2,121.376,52.58,136.609,174.447]","{""1"":""1""}"
"17_TZoiFIFq","[""img_016.jpg""]",0,"[]","[2,169.042,67.813,76.658,169.533]","{}"
"18_tt2MUvHL","[""img_018.jpg""]",0,"[]","[2,131.695,15.725,153.317,233.906]","{}"
"19_w0LVEXXT","[""img_019.jpg""]",0,"[]","[2,40.786,68.305,269.779,204.914]","{""1"":""5""}"
"20_1cPaliW4","[""img_020.jpg""]",0,"[]","[2,106.143,83.538,178.869,254.546]","{""1"":""7""}"
"21_sovYAXKY","[""img_021.jpg""]",0,"[]","[2,142.015,39.803,119.41,106.143]","{}"
"22_56omj3xB","[""img_022.jpg""]",0,"[]","[2,178.87,98.771,43.243,52.58]","{}"
"23_46wq7tcX","[""img_023.jpg""]",0,"[]","[2,135.627,100.246,132.678,184.766]","{}"
"24_f27dhDe1","[""img_024.jpg""]",0,"[]","[2,79.115,39.312,44.227,35.872]","{}"
"24_0vSSxKq6","[""img_024.jpg""]",0,"[]","[2,296.806,24.57,43.243,33.415]","{}"
"25_nsO7l9eb","[""img_025.jpg""]",0,"[]","[2,215.725,82.064,65.356,109.091]","{""1"":""1""}"
"26_NdC7XcLV","[""img_026.jpg""]",0,"[]","[2,37.346,25.553,147.421,163.145]","{""1"":""2""}"
"26_Znvl6wjv","[""img_026.jpg""]",0,"[]","[2,164.619,38.329,144.472,173.465]","{}"
"27_xABlwAkf","[""img_027.jpg""]",0,"[]","[2,138.575,81.081,101.228,115.971]","{}"
"28_pXPW7Pzf","[""img_028.jpg""]",0,"[]","[2,81.572,30.958,231.45,316.954]","{}"
"29_R9mXikuc","[""img_029.jpg""]",0,"[]","[2,125.799,35.872,133.66,166.094]","{""1"":""10""}"
"30_BDlwYWJf","[""img_030.jpg""]",0,"[]","[2,189.681,35.381,39.312,40.786]","{}"
"31_IXBnlkyS","[""img_031.jpg""]",0,"[]","[2,142.015,65.356,107.616,178.379]","{""1"":""1""}"
"32_ezG401Jk","[""img_032.jpg""]",0,"[]","[2,164.128,19.656,150.86,273.219]","{""1"":""5""}"
"33_SB8ZZVFk","[""img_033.jpg""]",0,"[]","[2,65.848,104.668,99.263,148.403]","{""1"":""2""}"
"33_vI0hDdNq","[""img_033.jpg""]",0,"[]","[2,381.818,185.749,0.492,0]","{}"
"33_t2X0bvyK","[""img_033.jpg""]",0,"[]","[2,253.563,63.882,100.245,140.541]","{}"
"34_XjAPqyw0","[""img_034.jpg""]",0,"[]","[2,83.047,30.467,191.646,240.786]","{""1"":""1""}"
"35_o4FTcKNX","[""img_035.jpg""]",0,"[]","[2,156.757,73.71,127.272,199.017]","{}"
"36_Ie32jKLq","[""img_036.jpg""]",0,"[]","[2,125.307,53.563,165.602,296.806]","{""1"":""5""}"
"37_zGUBFCiw","[""img_037.jpg""]",0,"[]","[2,140.541,78.624,91.4,148.403]","{}"
"38_1SMf9M0R","[""img_038.jpg""]",0,"[]","[2,78.624,51.597,96.315,167.568]","{}"
"39_7Arh8joG","[""img_039.jpg""]",0,"[]","[2,163.636,44.226,87.47,134.152]","{}"
"40_AXXlz7m4","[""img_040.jpg""]",0,"[]","[2,131.695,107.617,175.43,156.756]","{}"
"41_A2jnsIsm","[""img_041.jpg""]",0,"[]","[2,72.236,21.622,140.54,284.521]","{}"
"42_sMkdIM6S","[""img_042.jpg""]",0,"[]","[2,131.204,53.563,154.3,180.344]","{}"
"43_X1gcAXyu","[""img_043.jpg""]",0,"[]","[2,105.16,45.209,146.437,128.747]","{}"
"44_XraIzzTc","[""img_044.jpg""]",0,"[]","[2,128.747,96.806,114.005,186.241]","{}"
